Date,Open,High,Low,Close,Adj Close,Volume,dividendYield,targetMeanPrice,earningsDate,beta,priceToBook,priceToSalesTrailing12Months,forwardPE
2019-03-14,114.54000091552734,115.19999694824219,114.33000183105469,114.58999633789062,109.07733154296875,30763400,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-03-15,115.33999633789062,117.25,114.58999633789062,115.91000366210938,110.33384704589844,54681100,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-03-18,116.16999816894531,117.61000061035156,116.05000305175781,117.56999969482422,111.91399383544922,31207600,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-03-19,118.08999633789062,118.44000244140625,116.98999786376953,117.6500015258789,111.99012756347656,37588700,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-03-20,117.38999938964844,118.75,116.70999908447266,117.5199966430664,111.86638641357422,28113300,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-03-21,117.13999938964844,120.81999969482422,117.08999633789062,120.22000122070312,114.43648529052734,29854400,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-03-22,119.5,119.58999633789062,117.04000091552734,117.05000305175781,111.41899871826172,33624500,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-03-25,116.55999755859375,118.01000213623047,116.31999969482422,117.66000366210938,111.99967193603516,27067100,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-03-26,118.62000274658203,118.70999908447266,116.8499984741211,117.91000366210938,112.23764038085938,26097700,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-03-27,117.87999725341797,118.20999908447266,115.5199966430664,116.7699966430664,111.15245819091797,22733400,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-03-28,117.44000244140625,117.58000183105469,116.12999725341797,116.93000030517578,111.30476379394531,18334800,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-03-29,118.06999969482422,118.31999969482422,116.95999908447266,117.94000244140625,112.26618957519531,25399800,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
2019-04-01,118.94999694824219,119.11000061035156,118.0999984741211,119.0199966430664,113.29421997070312,22789100,0.0070999996,456.81,,0.89,13.263568,13.883489,31.804789
